Equipo,VL,DL,EL,VV,DV,EV,FAL_i,FAL_BP,FAL_DC,FDL_i,FDL_BP,FDL_DC,FAV_i,FAV_BP,FAV_DC,FDV_i,FDV_BP,FDV_DC
La Coruna,4,9,6,2,12,5,-0.2021758839528558,0.5829592105652236,0.5845440300683714,0.5566037735849059,-0.059772020645089,-0.05953685405466361,-0.2452830188679244,0.3193657246069422,0.3214676781617951,0.5593834995466909,0.1058708354916969,0.1077694357588271
Malaga,4,12,3,1,16,2,-0.4922937443336355,0.1111591691225833,0.10752985637268223,0.2735849056603774,-0.2754736210443399,-0.275921628311021,-0.5283018867924528,-0.1662642648201634,-0.17221405263221934,0.2330009066183138,-0.1462530452685125,-0.1448658117448708
Las Palmas,4,13,2,1,13,5,-0.456029011786038,0.1843227477495228,0.180841301733438,0.7924528301886793,0.0644672633400227,0.060433219540131554,-0.5754716981132075,-0.2452879370568732,-0.24571373291214746,0.3055303717135087,-0.0870775475345709,-0.08543400129861135
Rayo Vallecano,5,8,6,3,14,2,-0.0933816863100633,0.7486882462491792,0.7497221510265861,0.509433962264151,-0.1269893742027522,-0.12943170143991678,-0.2452830188679244,0.359976721823104,0.35649634468997515,0.3780598368087036,-0.034611081309708,-0.038064775357025675
Girona,11,18,9,12,16,10,-0.2203082502266545,0.5456595494037305,0.5464922904171061,0.179245283018868,-0.3331114922295662,-0.3319662525676556,0.0377358490566039,0.5323957343926063,0.5329810620925156,0.1242067089755214,-0.4846667022124337,-0.4849663548955122
Mallorca,8,8,3,1,15,3,-0.0933816863100633,0.7291552729399172,0.7257194173894227,0.0377358490566039,-0.5206855488906431,-0.5232656716061344,-0.2924528301886792,0.3000863658943616,0.2920335957707938,0.5593834995466909,0.0705080462615917,0.07084505561204747
Leganes,21,19,17,10,33,14,-0.3351465699607131,0.1678754132167458,0.1716654402352788,-0.0408805031446539,-0.4676364340651944,-0.46725964870310505,-0.2767295597484276,0.2203130035575533,0.21846657447520976,0.015412511332729,-0.549401579629689,-0.5479760223635851
Espanol,21,21,15,10,28,19,-0.2384406165004532,0.4591685785507814,0.4592440277251462,0.0849056603773585,-0.1344499731136962,-0.13293686442295918,-0.2452830188679244,0.2847065220758847,0.2845550077683459,-0.0208522212148685,-0.4428479054963757,-0.4421908664407868
Villarreal,33,21,22,28,30,18,0.1695376246600182,0.7789341994443181,0.7790841712132343,0.1320754716981131,-0.439702660571402,-0.43960602096321943,0.179245283018868,0.947849089777903,0.9493913869362276,-0.1024478694469628,-0.5855287565947361,-0.583326784033469
Valencia,39,10,27,22,34,20,0.115140525838622,0.9485064121722764,0.9458986079144389,-0.2099056603773584,-0.6049172431183604,-0.6071077404132109,0.0495283018867924,0.4314224768827466,0.43072035393933256,0.015412511332729,-0.1607277706493741,-0.1621330449853333
Sociedad,35,22,19,25,33,18,0.242067089755213,0.9301975524161894,0.9307540782822528,0.0613207547169811,-0.4835432404159786,-0.48090964692437094,0.0495283018867924,0.7505479269772969,0.7506131336217702,-0.084315503173164,-0.6878128523095899,-0.6920246234055671
Getafe,34,23,19,19,29,28,-0.1477787851314596,0.4809221278955228,0.47623717710926305,-0.3042452830188679,-1.0942383172009789,-1.0950334545174132,-0.2099056603773584,0.3016848272551654,0.3023533268418655,-0.1931097008159564,-0.4081318867969066,-0.4076571959404458
Barcelona,58,5,13,45,12,19,0.8132366273798732,1.2285278600816172,1.2291289312382545,-0.2452830188679244,-0.6025909162114805,-0.604003745020859,0.8867924528301887,1.2465246577275408,1.2457954112292313,-0.3019038984587489,-0.6706502425670712,-0.671908107373848
Ath Madrid,54,4,18,35,15,26,0.1876699909338168,1.0369178663278404,1.0377628737316282,-0.5283018867924528,-1.3641928943528658,-1.3670326682059777,0.179245283018868,0.7825949287504674,0.784435356226897,-0.4288304623753399,-1.1070682220599866,-1.109145869210429
Ath Bilbao,32,18,26,15,35,26,-0.1387126019945602,0.8064795402434507,0.8056097748468822,-0.1981132075471697,-0.5307721650022872,-0.5298577082571927,-0.1273584905660376,0.4338182169062307,0.43364545165618806,-0.0389845874886672,-0.4550415394356503,-0.4523986613418652
Alaves,29,26,21,18,46,12,-0.2656391659111513,0.4520378373810884,0.4508286027845872,0.0141509433962263,-0.5283712643779697,-0.5298625734481412,-0.1981132075471697,0.5053484872377666,0.5031143182091655,0.1786038077969176,-0.3008692593327664,-0.2988274822351767
Betis,37,21,18,22,37,17,0.0970081595648233,0.8074608755951865,0.8083631832337813,0.2382075471698113,-0.4895847639786986,-0.49370229577356517,-0.0448113207547168,0.6050108412336312,0.60500795013186,0.0698096101541252,-0.425313472115489,-0.4269999243298279
Cadiz,5,9,5,6,7,6,-0.3834995466908431,0.3182854687759904,0.323938345765022,0.4150943396226416,-0.218345508179472,-0.21513039991373648,-0.1037735849056603,0.5630941195370885,0.5614880070575783,0.015412511332729,-0.3589542031135032,-0.36598427727439176
Levante,27,22,27,18,40,18,0.0244786944696284,0.7859415883225213,0.7828553798188099,0.3089622641509435,-0.2200858853036728,-0.22156206034208528,-0.0212264150943396,0.5843581694875096,0.5817904194894031,0.115140525838622,-0.3689110263584086,-0.3686514085336168
Valladolid,13,22,22,11,26,20,-0.3593230583257781,0.5021561238685284,0.49798073958557804,0.1163522012578617,-0.2722930646766207,-0.27307756057667865,-0.2924528301886792,0.4130573571118205,0.4142193657063471,-0.032940465397401,-0.5141749113497018,-0.5133288281787267
Celta,30,22,24,14,38,24,0.0607434270172257,0.7729320682798797,0.7754253512590835,0.1556603773584906,-0.2076724180319815,-0.2065091724957141,0.025943396226415,0.8645272383568007,0.8718106797240621,0.1786038077969176,-0.1030025935734577,-0.09653684005507249
Eibar,27,29,20,15,37,24,-0.1477787851314596,0.0950068895102404,0.09778358629581006,0.0141509433962263,-0.5647695955007913,-0.5595245622145086,-0.2452830188679244,0.5041435825551577,0.5003884834394859,0.1060743427017227,-0.3097612887256836,-0.31255731724690733
Elche,5,6,8,3,12,4,-0.3472348141432456,0.3836704440180891,0.38217698499856445,0.0849056603773585,-0.4923417553828562,-0.49420491669249544,-0.2452830188679244,0.3733157913326921,0.37322418076772984,0.1604714415231187,-0.2229853405476521,-0.2223755122470017
Huesca,10,15,13,4,22,12,-0.256572982774252,0.2785762055434552,0.2803552869909772,0.2028301886792454,-0.5118252678699908,-0.5115664032954328,-0.150943396226415,0.3479206441598061,0.34669157565525943,0.2148685403445149,-0.3184310310051292,-0.3159237669210879
Osasuna,14,12,12,10,16,12,-0.1477787851314596,0.5699270094454171,0.5726444372574123,0.2264150943396228,-0.4614991078932327,-0.45980458406580016,-0.150943396226415,0.5636691625558466,0.5630585098035482,-0.0933816863100633,-0.4291028243191777,-0.4306746459340074
Real Madrid,53,11,12,41,14,21,0.4415231187669992,1.0765931931184731,1.0761897240632659,-0.3042452830188679,-0.946671859377869,-0.9459604239462799,0.591981132075472,1.018411854789586,1.018310162097421,-0.2384406165004532,-0.8936029010366966,-0.8930450426001201
Sevilla,47,13,16,30,29,17,0.115140525838622,0.8216100698847391,0.8183596825098387,-0.2099056603773584,-1.283302797997914,-1.2926868307428394,0.1202830188679247,0.809223101917482,0.8083559632709004,-0.0480507706255666,-0.7320620176365001,-0.7353319218204847
Granada,19,12,7,10,20,8,-0.0752493200362647,0.6978750535751973,0.7003406142442488,-0.0330188679245282,-0.4540621921752198,-0.454971476166689,0.1320754716981131,0.7243455053006741,0.7260900598148013,0.2511332728921125,-0.0772966396459102,-0.07827321373039506
